GCAS,Total_MSU_Forecast,Avg_MSU_Forecast,Forecast_Periods,Product_Description,Subsector_Name,Total_IT_Forecast,Avg_IT_Forecast,Total_CS_Forecast,Avg_CS_Forecast
80830237,66298.225,1069.3262097,62,PAM S6 ToN SUM25 32x3 KR PANTS CBY (SS),Baby Care,372950.8,6015.3354839,124317.2,2005.116129
80822641,66213.479,689.7237396,96,ORALB MOC CA PRO HEALTH SP CL 12PX4KRCP,Oral Care,198481.6,2067.5166667,49620.8,516.8833333
80874901,65047.523,783.7050964,83,FUSION PROSHIELD BASE FRR 1X8X4 (2UP),Shave Care,325238.0,3918.5301205,10163.5,122.4518072
80831285,64990.584,676.98525,96,DOWNY LFE 2.6LX6 MB RFL P2 KR,Fabric Care,168975.2,1760.1583333,28162.4,293.3583333
80840382,64989.322,676.9721042,96,H&S SHM CM 520MLX2 PACK HYPE OY,Hair Care,160661.5,1673.5572917,17851.6,185.9541667
80882577,64165.285,712.9476111,90,DOWNY LFE 1.6LX9 RFL WT&L P2 KR,Fabric Care,271095.5,3012.1722222,30122.0,334.6888889
80843759,63851.467,665.1194479,96,DOWNY LFE 2.6LX6 RFL SG M2A KR,Fabric Care,166013.7,1729.309375,27669.0,288.21875
80831272,63462.005,661.0625521,96,DOWNY LFE 2LX4 SBTL WT&L P2 KR,Fabric Care,214507.4,2234.4520833,53627.5,558.6197917
80739739,63224.898,658.5926875,96,ORALB MOC CRS PROHLTH 35 BCD 7X12 KR CC,Oral Care,324896.5,3384.3385417,27074.9,282.0302083
80826690,61986.742,645.6952292,96,H&S SH 800MLX6 LEMON HYPE KR,Hair Care,199207.6,2075.0791667,33201.0,345.84375
80830239,61551.203,1758.6058,35,PAMPERS DPR XL 52X3 SUMMER25 KR CBY,Baby Care,213078.3,6087.9514286,71026.3,2029.3228571
80865948,60334.06,1206.6812,50,LENOR LFE 4LX3 BTL Musk KR ship (CM),Fabric Care,101967.2,2039.344,33989.7,679.794
80848827,59833.218,1424.6004286,42,SK2 RNW AIRY CREAM DUO SET TR CN,Skin Care,56097.6,1335.6571429,4674.7,111.302381
80844857,59670.489,1193.40978,50,DOWNY LFE 1LX12 SBTL MUSK M3 KR,Fabric Care,403383.2,8067.664,33615.7,672.314
80876308,59200.0,970.4918033,61,Gillette (PS PWR 4up)X12 (PX),Shave Care,177618.5,2911.7786885,7400.5,121.3196721
80840391,58250.034,606.7711875,96,H&S SHM ISC 520MLX2 PACK HYPE OY,Hair Care,144001.4,1500.0145833,16000.0,166.6666667
80874071,58086.293,645.4032556,90,GIL PS Y PWR (1UP+8CT) 1X18 KR COSTCO,Shave Care,87125.1,968.0566667,4840.5,53.7833333
80754285,57558.564,701.9337073,82,PAMP DPR XXL 44X3 BP2.0 KR COUPANG FFU,Baby Care,235477.8,2871.6804878,78492.4,957.2243902
80842251,57495.576,598.91225,96,GIL (PSY 16CRT+TGS195G+HYDRA70G)X12CP,Shave Care,51321.9,534.603125,4276.8,44.55
80825370,57436.451,598.2963646,96,DOWNY LFE (1.05LX3)X4 BTL CP M2 KR,Fabric Care,123260.8,1283.9666667,30815.0,320.9895833
80862539,57414.763,617.363043,93,GILLETTE FUSION BASE 4CT 4X6X12 (PX),Shave Care,215278.3,2314.8204301,2989.9,32.1494624
80858684,57300.012,1397.5612683,41,DOWNY LFE 1LX12 SBTL WT D1 KR,Fabric Care,387358.8,9447.7756098,32279.5,787.304878
80882578,57064.899,627.0868022,91,DOWNY LFE 1.6LX9 RFL MB P2 KR,Fabric Care,241097.0,2649.4175824,26788.3,294.3769231
80809381,56329.971,619.0106703,91,BRAUN SHAVER 9665cc GREY BOX KR,Appliances,56330.5,619.0164835,18776.4,206.3340659
80864066,56170.818,585.1126875,96,H&S CN 850MLX12 DEEPCLEAN HYPE KR,Hair Care,169901.2,1769.8041667,14158.5,147.484375
80857046,55257.614,736.7681867,75,699 Gillette Labs Blades 4ct 4x10x6,Shave Care,207189.9,2762.532,3453.2,46.0426667
80793510,54674.626,569.5273542,96,PTN (ROT SDC 220MLX3+SH SDC 90ML)X8 ATTN,Hair Care,187426.8,1952.3625,23428.1,244.0427083
80863031,53988.837,658.4004512,82,OB COMPLETE 5WAY FRESH+ DC5 X48 KR EME,Oral Care,388688.3,4740.1012195,8097.6,98.7512195
80841659,53651.503,558.8698229,96,DOWNY LFE 1.35LX10 RFL IDD gre H1 KR,Fabric Care,268660.3,2798.5447917,26866.0,279.8541667
80872043,52587.561,611.4832674,86,DOWNY FBEN HP GRN 480GX6 PUR BTL P2 KR,Fabric Care,499881.6,5812.5767442,83313.8,968.7651163
82301496,51735.967,568.5271099,91,SNSR3 ELH DIS 1 COMFORT 1X12X10,Shave Care,930503.3,10225.310989,7753.7,85.2054945
80781215,50802.678,619.5448537,82,PAM S6 TON24 34x3 KR PANTS CBY (SS),Baby Care,268939.9,3279.754878,89646.8,1093.2536585
80371328,50781.165,528.9704688,96,D100.413.2 KR SUX White HBOX PTHBR,Oral Care,101562.6,1057.94375,16926.5,176.3177083
82333479,50708.199,528.2104062,96,OB ULTRTHN CPT SOFT (1X12X8)X1 KR DBD,Oral Care,19000.1,197.9177083,19000.1,197.9177083
80841655,49947.806,520.2896458,96,DOWNY LFE (1.05LX3)X4 BTL IDD pk H1 KR,Fabric Care,107189.7,1116.559375,26797.3,279.1385417
80843756,49062.885,511.0717188,96,DOWNY LFE 2.6LX6 RFL CV M2A KR,Fabric Care,127562.8,1328.7791667,21260.2,221.4604167
80871153,48709.274,507.3882708,96,FBRZ CAR (2.2MLX6)X12 CC ZIS PANTHER,Home Care,129891.7,1353.0385417,10824.1,112.7510417
80829786,48639.325,506.6596354,96,FBRZ FR(360MLX3)X8 AB CLNSC CP GM,Home Care,360291.7,3753.0385417,45036.2,469.1270833
80860056,48354.241,1465.2800303,33,OB ESS F WXD 2X50 M BCD 1X6X4,Oral Care,435231.6,13188.8363636,18134.8,549.5393939
80879020,47981.278,666.4066389,72,DOWNY LFE 4LX3 BTL BM H1 KR,Fabric Care,81090.9,1126.2625,27030.3,375.4208333
80787159,47378.969,493.5309271,96,FBRZ AE SPRY 165GX6 LAV BB,Home Care,947579.7,9870.621875,157929.4,1645.0979167
80729881,46394.112,483.272,96,FEBREZE FR 320MLX12 MILD ARM RF BB,Home Care,1159854.1,12081.8135417,96654.6,1006.81875
80855476,46308.426,497.9400645,93,GIL PG SENSITIVE GEL 170G (1X2)X6 (Duo),Shave Care,509630.8,5479.9010753,84938.5,913.3172043
80874044,46034.682,494.9965806,93,BRAUN MALHRREMKP CCR8 Costco (DG),Appliances,57543.6,618.7483871,9589.5,103.1129032
80851841,45508.477,554.9814268,82,PAMPERS TON TAPE S2 52X3 KR,Baby Care,157523.0,1921.0121951,52507.7,640.3378049
80860063,45338.909,1373.9063333,33,OB ESS F WXD 50 M MNT BCD 1X6X8,Oral Care,815448.1,24710.5484848,16988.4,514.8
80830242,45075.085,777.1566379,58,PAM S4 ToN SUM25 46x3 KR PANTS CBY (SS),Baby Care,176372.3,3040.9017241,58790.9,1013.6362069
80841658,44744.654,466.0901458,96,DOWNY LFE 2LX4 SBTL IDD pk H1 KR,Fabric Care,151241.4,1575.43125,37810.2,393.85625
80835263,44572.972,909.6524898,49,DOWNY LAU LIQ 4.1LX4 CRG IDD J2 KR,Fabric Care,70664.2,1442.1265306,17665.9,360.5285714
82333737,44513.666,478.6415699,93,556 GIL SKIN FOAM SHVP 245G 1X6,Shave Care,679943.7,7311.2225806,113323.8,1218.5354839
80754286,44339.993,540.731622,82,PAMP DPR XL 52X3 BP2.0 KR COUPANG FFU,Baby Care,153479.0,1871.695122,51160.5,623.9085366
80832706,44121.393,900.4365918,49,DOWNY LAU LIQ 2.2LX6 CRG IDD J2 KR,Fabric Care,130356.7,2660.3408163,21726.2,443.3918367
80831277,43225.673,450.2674271,96,DOWNY LFE 2LX4 SBTL MB P2 KR,Fabric Care,146106.4,1521.9416667,36526.2,380.48125
80864064,43188.688,449.8821667,96,H&S CN 850MLX12 APPLE HYPE KR,Hair Care,130634.3,1360.7739583,10885.9,113.3947917
80769245,43114.098,449.1051875,96,MACH3 CRT 4 4X6X8,Shave Care,194033.1,2021.178125,4042.7,42.1114583
80811859,43097.889,879.5487551,49,DOWNY LAU LIQ 3LX4 BTL BLUE J1 KR,Fabric Care,93376.2,1905.6367347,23344.0,476.4081633
80852941,42999.993,483.1459888,89,FUS HYDRA GEL SHVP 70G SENST 1X90,Shave Care,2298645.5,25827.4775281,25541.1,286.9786517
80825346,42987.421,447.7856354,96,DOWNY LFE 2LX4 SBTL CP M2 KR,Fabric Care,145301.5,1513.5572917,36325.2,378.3875
80868098,42933.679,523.5814512,82,OB CROSS 35 XEROX BCD KR 6X24 KR EM,Oral Care,257550.5,3140.8597561,10731.6,130.8731707
80830233,42878.557,2256.7661579,19,PAMPERS DPR XXL 42X3 SUMMER25 KR CBY,Baby Care,183765.2,9671.8526316,61255.0,3223.9473684
80792793,42870.401,446.5666771,96,PTN ROT 220MLX24 SDC H199 ATTN EOL KR,Hair Care,500993.2,5218.6791667,20874.7,217.4447917
80709736,42726.035,459.4197312,93,VENUS DELUXE SMOOTH SWIRL RZR 2UP 1X4X4,Shave Care,213630.2,2297.0989247,13352.2,143.572043
80774836,42445.154,442.1370208,96,FEBREZE FR 900MLX6 FRSH ARM BTL TW,Home Care,377290.1,3930.1052083,62881.9,655.0197917
80746803,42416.307,466.1132637,91,BRAUN SHAVER 52-M1000s  MIN  BOX KR,Appliances,42416.0,466.1098901,14139.8,155.3824176
80794405,42385.888,441.5196667,96,FEBREZE FR 370MLX12 DWNY AF BTL NJ,Home Care,916451.5,9546.3697917,76371.0,795.53125
80707594,42319.361,465.0479231,91,HS SHM (850MLX6) APPLE FRESH KR DBD,Hair Care,128001.6,1406.610989,21333.6,234.4351648
80793380,42319.231,455.0454946,93,HS SHM 850MLX6 APPLE FRESH DIT KR (CP),Hair Care,128001.2,1376.3569892,21333.6,229.3935484
80842302,42309.098,440.7197708,96,H&S SHM (CM 850MLX2) Hype CP KR,Hair Care,63984.4,666.5041667,7997.8,83.3104167
80842209,40232.223,419.0856562,96,OB ULTRATHIN PRO GUM CARE 6X12X2 KR,Oral Care,241200.2,2512.5020833,10049.9,104.6864583
80842300,39220.483,408.5466979,96,H&S SHM (CL 800MLX2 + DC 90ML) Hype KR,Hair Care,63021.8,656.4770833,7877.6,82.0583333
80840737,38943.538,418.7477204,93,GIL PG MNL (1UP+8CT) 1X18 KR COSTCO,Shave Care,58412.2,628.088172,3244.8,34.8903226
80781216,38811.746,473.3139756,82,PAM S4 TON24 48x3 KR PANTS CBY (DBL),Baby Care,145544.0,1774.9268293,48514.7,591.6426829
80816635,38703.649,403.1630104,96,GILLETTE (PG PWR 1UP+7CT)X16 KR ET,Shave Care,58053.2,604.7208333,3628.3,37.7947917
80873032,38293.991,617.6450161,62,H&S CN 1100MLX10 CM HALO KR,Hair Care,89502.9,1443.5951613,8950.2,144.3580645
80777272,38078.566,604.4216825,63,OB ESS F WAX 50M REG BCD 1X6X8,Oral Care,684866.6,10870.8984127,14267.9,226.4746032
80772633,38013.165,408.7437097,93,FUS PROGLIDE PWR RZR TMR FLEX 1X6X6 NF,Shave Care,190065.7,2043.7172043,5279.7,56.7709677
80872654,37712.099,443.6717529,85,GIL(PG MNL 8CT+PWR 3CT) 11X12X2 KR HYPER,Shave Care,51421.0,604.9529412,2142.4,25.2047059
80856907,37631.41,752.6282,50,H&S CN 1800MLX6 ISC HYPE ET KR,Hair Care,53750.9,1075.018,8957.9,179.158
80874068,37600.094,442.3540471,85,GIL PG PWR 8UP 1X18 KR ET,Shave Care,62666.9,737.2576471,3481.3,40.9564706
80825353,37580.538,391.4639375,96,DOWNY LFE 1LX12 SBTL SG M2 KR,Fabric Care,254050.5,2646.359375,21170.6,220.5270833
80873035,37382.01,602.9356452,62,H&S CN 400MLX12 CM H231.5 HALO KR,Hair Care,240270.3,3875.3274194,20021.7,322.9306452
80739986,37321.582,388.7664792,96,BRAUN MALHRREMKP CCR4 MIX BOX KR,Appliances,93303.3,971.909375,23325.4,242.9729167
80886801,37109.247,452.5517927,82,H&S SHM 300MLX6 ADV ITCH HYDROS STX KR,Hair Care,318033.7,3878.4597561,53005.2,646.404878
80873238,36909.993,505.6163425,73,PAMPERS DPR MD 46X4 POOBAO KR PANTS CBY,Baby Care,144433.6,1978.5424658,36108.7,494.639726
80769243,36658.776,394.1803871,93,MACH3 RAZOR 1UP 1CSX30IT*1X6X5,Shave Care,183294.2,1970.9053763,6109.6,65.6946237
80825344,36482.038,380.0212292,96,DOWNY LFE 1LX12 SBTL CV M2 KR,Fabric Care,246626.2,2569.0229167,20552.3,214.0864583
80795551,36283.161,377.9495938,96,PAMPERS DPR MD 46X4 BP3.0 KR PANTS CBY,Baby Care,141980.7,1478.965625,35495.3,369.7427083
80787158,36048.062,375.5006458,96,FBRZ AE SPRAY 165GX6 DOWNY BB,Home Care,720961.5,7510.015625,120160.8,1251.675
82318464,35870.777,298.9231417,120,FEBREZE FR 370MLX12 CLN SCNT BTL EASTER,Home Care,775584.7,6463.2058333,64632.0,538.6
80769632,35770.465,393.082033,91,FBRZ TLT(SP(6.3MLX3)+LV(6.3MLX3))X8CCBPZ,Home Care,104097.1,1143.9241758,13011.9,142.9879121
80844859,35767.645,715.3529,50,DOWNY LFE 2.6LX6 RFL MUSK M3 KR,Fabric Care,92995.1,1859.902,15498.9,309.978
80829293,35421.474,385.0160217,92,FEBREZE FR 370MLX12 MEN COOLAQ BTL IVE,Home Care,765869.8,8324.6717391,63822.4,693.7217391
80871884,34263.807,368.4280323,93,GILLETTE PG SENSITIVE GEL 170GX4X10 (CC),Shave Care,188542.7,2027.3408602,18854.6,202.7376344
